Date;Brand;Film.Code;Ratecard.Duration;Metric;Value
2017-09-06;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;11,76
2017-09-07;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;686776,2044
2017-09-07;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;16,83
2017-09-08;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;795593,9438
2017-09-08;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;17,74
2017-09-09;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;1400164,37
2017-09-09;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;33,97
2017-09-10;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;1121405,315
2017-09-10;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;25,48
2017-09-11;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;599583,769
2017-09-11;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;13,06
2017-09-12;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;775054,8423
2017-09-12;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;18,01
2017-09-13;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;646784,204
2017-09-13;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;13,86
2017-09-14;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;8887,1112
2017-09-14;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;0,96
2017-09-28;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;332081,7218
2017-09-28;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;5,87
2017-09-29;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;314307,4994
2017-09-29;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;3,06
2017-09-30;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;1201290,57
2017-09-30;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;18,4
2017-10-01;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;966917,6986
2017-10-01;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;18,61
2017-10-02;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;338352,0725
2017-10-02;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;9,49
2017-10-03;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;315591,1933
2017-10-03;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;8,32
2017-10-04;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;368370,7592
2017-10-04;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;8,02
2017-10-05;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;392909,0607
2017-10-05;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;6,69
2017-10-06;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;240593,8493
2017-10-06;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;1,53
2017-10-07;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;398981,92
2017-10-07;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;9,79
2017-10-08;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;475509,822
2017-10-08;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;14,96
2017-10-09;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;478620,311
2017-10-09;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;8,12
2017-10-10;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;257183,1236
2017-10-10;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;7,02
2017-10-11;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;377307,2433
2017-10-11;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;5,53
2017-10-12;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;Cost;6418,4692
2017-10-12;Pantene;Pantene pro-v 3 minute miracle intensive repair 6op./selena gomez/hebe 300917;30;TRP;0,07
2017-12-08;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;561512,372
2017-12-08;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;23,47
2017-12-09;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;284367,8093
2017-12-09;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;14,93
2017-12-10;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;289608,7362
2017-12-10;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;12,14
2017-12-11;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;406375,5028
2017-12-11;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;19,28
2017-12-12;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;411344,8792
2017-12-12;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;16,98
2017-12-13;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;509184,5676
2017-12-13;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;22,8
2017-12-14;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;279697,1386
2017-12-14;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;11,65
2017-12-15;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;689195,4736
2017-12-15;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;32,14
